11,1,0
33,1,0
13,1,0
14,1,1
6,1,1
21,1,0
28,1,0
15,1,0
26,2,0
5,2,0
19,2,1
29,2,0
15,2,0
7,3,0
6,3,1
32,3,0
10,3,0
26,4,0
33,4,0
14,4,1
3,4,0
28,4,0
32,4,0
15,4,0
34,4,0
35,5,0
14,5,1
7,5,0
24,5,0
9,5,0
4,5,0
15,5,0
30,6,1
8,6,1
7,6,1
29,6,1
28,6,1
31,6,1
15,6,1
1,7,0
5,7,0
8,7,0
6,7,0
12,7,0
31,7,0
15,7,0
34,7,0
33,8,0
1,8,0
7,8,0
6,8,0
12,8,0
4,8,0
21,8,0
26,8,0
33,9,0
8,9,0
6,9,1
28,9,0
32,9,0
15,9,0
34,9,0
26,10,0
6,10,1
32,10,0
4,10,0
22,10,0
30,11,0
14,11,0
1,11,0
8,11,0
6,11,1
12,11,0
15,11,0
10,11,0
6,12,1
9,12,0
19,12,1
29,12,0
28,12,0
32,12,0
15,12,0
3,13,0
6,13,1
19,13,0
28,13,0
31,13,0
32,13,0
15,13,0
34,13,0
27,14,1
35,14,1
21,14,0
28,14,0
32,14,1
15,14,0
34,14,1
7,15,0
3,15,0
6,15,0
17,15,0
12,15,0
28,15,0
31,15,0
26,16,0
6,16,1
21,16,0
25,16,0
18,16,0
15,16,0
34,16,0
26,17,0
35,17,0
20,17,0
6,17,1
21,17,0
29,17,0
28,17,0
4,17,0
26,18,0
20,18,0
6,18,1
25,18,0
15,18,0
26,19,1
31,19,0
15,19,0
11,20,0
1,20,0
8,20,0
7,20,0
24,20,0
6,20,1
9,20,0
15,20,0
1,21,0
6,21,1
19,21,0
28,21,0
32,21,0
18,21,0
31,21,0
7,21,0
19,22,1
28,22,0
31,22,0
7,23,0
6,23,1
19,23,0
29,23,0
31,23,0
18,23,0
15,23,0
16,23,0
14,24,1
1,24,0
8,24,0
12,24,0
28,24,0
31,24,0
4,24,0
10,24,0
6,25,1
19,25,0
21,25,0
31,25,0
32,25,0
18,25,0
16,25,0
10,25,0
7,26,0
9,26,0
19,26,0
31,26,0
32,26,0
15,26,0
34,26,0
2,27,0
14,27,0
5,27,0
7,27,0
15,27,0
8,28,0
7,28,0
18,28,0
15,28,0
7,29,0
24,29,0
6,29,0
21,29,0
12,29,0
31,29,0
32,29,0
15,29,0
2,30,0
14,30,0
8,30,0
7,30,0
3,30,0
6,30,0
32,30,0
15,30,0
30,31,0
6,31,0
19,31,0
12,31,0
32,31,0
15,31,0
34,31,0
16,31,0
14,32,0
5,32,0
7,32,0
28,32,0
31,32,0
18,32,0
15,32,0
10,32,0
14,33,1
5,33,0
7,33,0
3,33,0
28,33,0
15,33,0
9,33,0
16,33,0
26,34,0
23,34,0
14,34,0
5,34,0
8,34,0
7,34,0
9,34,0
28,34,0
8,35,0
7,35,0
29,35,0
28,35,0
32,35,0
